[40]rt_x,[40]rt_z,[41]rt_x,[41]rt_z,[42]rt_x,[44]rt_x,[44]rt_z,[45]rt_z,[46]rt_z,[48]rt_z,[49]rt_z,[50]rt_z,[52]rt_x,[52]rt_z,[53]rt_z,[54]rt_z,[56]rt_x,[56]rt_z,[57]rt_z,[58]rt_z,FingersNumber
-20.81527,-64.33176,32.90256,-16.44756,-31.34291,-15,-102.179,-13.52343,-6.761715,-68.89818,-68.89818,-68.89818,15,-21.10964,-21.10964,-21.10964,25,-48.45628,-48.45628,-48.45628,1
-20.81527,-64.3503,32.85817,-16.4661,-31.3695,-15,-102.2085,-13.53125,-6.765625,-68.89698,-68.89698,-68.89698,15,-21.13193,-21.13193,-21.13193,25,-48.49707,-48.49707,-48.49707,1
-20.83746,-64.3503,32.85817,-16.4661,-31.3695,-15,-102.2085,-13.53125,-6.765625,-68.89698,-68.89698,-68.89698,15,-21.13193,-21.13193,-21.13193,25,-48.49707,-48.49707,-48.49707,1
-20.83746,-64.3503,32.85817,-16.4661,-31.3695,-15,-102.2085,-13.53125,-6.765625,-68.89698,-68.89698,-68.89698,15,-21.13193,-21.13193,-21.13193,25,-48.49707,-48.49707,-48.49707,1
-20.83746,-64.3503,32.85817,-16.4661,-31.3695,-15,-102.2085,-13.53125,-6.765625,-68.89698,-68.89698,-68.89698,15,-21.13193,-21.13193,-21.13193,25,-48.49707,-48.49707,-48.49707,1
-20.83746,-64.3503,32.85817,-16.4661,-31.3695,-15,-102.2085,-13.53125,-6.765625,-68.89698,-68.89698,-68.89698,15,-21.13193,-21.13193,-21.13193,25,-48.49707,-48.49707,-48.49707,1
-20.83477,-64.35671,32.86357,-16.47249,-31.41806,-15,-102.2109,-13.53249,-6.766245,-68.89796,-68.89796,-68.89796,15,-21.13355,-21.13355,-21.13355,25,-48.49516,-48.49516,-48.49516,1
-20.83431,-64.35796,32.86448,-16.47377,-31.35691,-15,-102.2034,-13.54555,-6.772773,-68.89751,-68.89751,-68.89751,15,-21.12803,-21.12803,-21.12803,25,-48.48114,-48.48114,-48.48114,1
-20.83232,-64.36147,32.86843,-16.47728,-31.30586,-15,-102.1992,-13.53779,-6.768894,-68.89753,-68.89753,-68.89753,15,-21.13135,-21.13135,-21.13135,25,-48.47961,-48.47961,-48.47961,1
-20.82868,-64.36916,32.87574,-16.48497,-31.3648,-15,-102.1977,-13.5257,-6.762848,-68.9,-68.9,-68.9,15,-21.13478,-21.13478,-21.13478,25,-48.4842,-48.4842,-48.4842,1
-20.8211,-64.37444,32.89087,-16.49025,-31.42801,-15,-102.1899,-13.5069,-6.753448,-68.89719,-68.89719,-68.89719,15,-21.13674,-21.13674,-21.13674,25,-48.48611,-48.48611,-48.48611,1
-20.81395,-64.36883,32.90519,-16.48464,-31.49844,-15,-102.1936,-13.48655,-6.743275,-68.90255,-68.90255,-68.90255,15,-21.14293,-21.14293,-21.14293,25,-48.48851,-48.48851,-48.48851,1
-20.80381,-64.36733,32.92544,-16.48315,-31.59195,-15,-102.1884,-13.46613,-6.733064,-68.90577,-68.90577,-68.90577,15,-21.14784,-21.14784,-21.14784,25,-48.48332,-48.48332,-48.48332,1
-20.79629,-64.37165,32.94051,-16.48746,-31.72058,-15,-102.1861,-13.46379,-6.731896,-68.91082,-68.91082,-68.91082,15,-21.15792,-21.15792,-21.15792,25,-48.46088,-48.46088,-48.46088,1
-20.79079,-64.37227,32.95152,-16.48807,-31.78225,-15,-102.1793,-13.46049,-6.730247,-68.90955,-68.90955,-68.90955,15,-21.16376,-21.16376,-21.16376,25,-48.46189,-48.46189,-48.46189,1
-20.78797,-64.37721,32.95716,-16.49301,-31.84333,-15,-102.1959,-13.4401,-6.720051,-68.90591,-68.90591,-68.90591,15,-21.17178,-21.17178,-21.17178,25,-48.46916,-48.46916,-48.46916,1
-20.78503,-64.38162,32.96301,-16.49745,-31.87386,-15,-102.1964,-13.41964,-6.709819,-68.9063,-68.9063,-68.9063,15,-21.17571,-21.17571,-21.17571,25,-48.4589,-48.4589,-48.4589,1
-20.77761,-64.38773,32.97789,-16.50353,-31.92179,-15,-102.2114,-13.40031,-6.700157,-68.90868,-68.90868,-68.90868,15,-21.18845,-21.18845,-21.18845,25,-48.46014,-48.46014,-48.46014,1
-20.77179,-64.39654,32.98951,-16.51235,-31.96917,-15,-102.2234,-13.37738,-6.688691,-68.9058,-68.9058,-68.9058,15,-21.19973,-21.19973,-21.19973,25,-48.45827,-48.45827,-48.45827,1
-20.76716,-64.40788,32.99878,-16.5237,-32.01996,-15,-102.1907,-13.43775,-6.718873,-68.90877,-68.90877,-68.90877,15,-21.21256,-21.21256,-21.21256,25,-48.46701,-48.46701,-48.46701,1
-20.76589,-64.41866,33.00133,-16.53446,-32.05549,-15,-102.1858,-13.46116,-6.730582,-68.90697,-68.90697,-68.90697,15,-21.22052,-21.22052,-21.22052,25,-48.46257,-48.46257,-48.46257,1
-20.76445,-64.43373,33.0042,-16.54954,-32.07048,-15,-102.1895,-13.47988,-6.739942,-68.90948,-68.90948,-68.90948,15,-21.22917,-21.22917,-21.22917,25,-48.45503,-48.45503,-48.45503,1
-20.76571,-64.44544,33.00168,-16.56125,-32.04292,-15,-102.1959,-13.49462,-6.747312,-68.91186,-68.91186,-68.91186,15,-21.23458,-21.23458,-21.23458,25,-48.46047,-48.46047,-48.46047,1
-20.76794,-64.45793,32.99723,-16.57373,-31.98288,-15,-102.1976,-13.49999,-6.749995,-68.91706,-68.91706,-68.91706,15,-21.2066,-21.2066,-21.2066,25,-48.45817,-48.45817,-48.45817,1
-20.76794,-64.45793,32.99723,-16.57373,-31.98288,-15,-102.1976,-13.49999,-6.749995,-68.91706,-68.91706,-68.91706,15,-21.2066,-21.2066,-21.2066,25,-48.45817,-48.45817,-48.45817,1
-20.77162,-64.45403,32.98987,-16.56983,-31.98383,-15,-102.1912,-13.49668,-6.748338,-68.92226,-68.92226,-68.92226,15,-21.19618,-21.19618,-21.19618,25,-48.47219,-48.47219,-48.47219,1
-20.77133,-64.44632,32.99044,-16.56213,-31.97433,-15,-102.1892,-13.4638,-6.731898,-68.92289,-68.92289,-68.92289,15,-21.20343,-21.20343,-21.20343,25,-48.46515,-48.46515,-48.46515,1
-20.77072,-64.43015,32.99166,-16.54596,-32.02361,-15,-102.1861,-13.44277,-6.721384,-68.92354,-68.92354,-68.92354,15,-21.20744,-21.20744,-21.20744,25,-48.47568,-48.47568,-48.47568,1
-20.77341,-64.4173,32.98629,-16.53311,-32.03522,-15,-102.1824,-13.42728,-6.713642,-68.92545,-68.92545,-68.92545,15,-21.21467,-21.21467,-21.21467,25,-48.47677,-48.47677,-48.47677,1
-20.77772,-64.40512,32.97763,-16.52096,-32.05529,-15,-102.1736,-13.4273,-6.713649,-68.92731,-68.92731,-68.92731,15,-21.21631,-21.21631,-21.21631,25,-48.47583,-48.47583,-48.47583,1
-20.78267,-64.39646,32.96773,-16.51229,-32.03516,-15,-102.1565,-13.43985,-6.719925,-68.92525,-68.92525,-68.92525,15,-21.22094,-21.22094,-21.22094,25,-48.47458,-48.47458,-48.47458,1
-20.78926,-64.39312,32.95459,-16.50892,-31.98638,-15,-102.1426,-13.47473,-6.737366,-68.92956,-68.92956,-68.92956,15,-21.22012,-21.22012,-21.22012,25,-48.4716,-48.4716,-48.4716,1
